hr,rr,stress,time,real_time
hr,rr,stress,time,real_time
100,"[0.612, 0.604]",0,00:09:38,00:06:11
100,[0.616],0,00:09:39,00:06:12
100,"[0.596, 0.612]",0,00:09:40,00:06:13
101,"[0.596, 0.556]",0,00:09:41,00:06:14
102,[0.552],0,00:09:42,00:06:15
103,"[0.556, 0.544]",0,00:09:43,00:06:16
104,"[0.532, 0.54]",0,00:09:44,00:06:17
104,"[0.612, 0.64]",0,00:09:45,00:06:18
103,[0.636],0,00:09:46,00:06:19
103,"[0.604, 0.568]",0,00:09:47,00:06:20
104,"[0.54, 0.532]",0,00:09:48,00:06:21
106,"[0.52, 0.512]",0,00:09:50,00:06:23
107,"[0.52, 0.536]",0,00:09:50,00:06:23
107,"[0.536, 0.528]",0,00:09:51,00:06:24
108,[0.54],0,00:09:52,00:06:25
108,"[0.544, 0.6]",0,00:09:53,00:06:26
106,[0.724],0,00:09:54,00:06:27
105,"[0.744, 0.688]",0,00:09:55,00:06:28
103,[0.668],0,00:09:56,00:06:29
101,"[0.724, 0.672]",0,00:09:57,00:06:30
100,[0.704],0,00:09:58,00:06:31
99,"[0.64, 0.652]",0,00:09:59,00:06:32
98,[0.684],0,00:10:00,00:06:33
96,"[0.74, 0.648]",0,00:10:01,00:06:34
95,[0.652],0,00:10:02,00:06:35
95,"[0.636, 0.632]",0,00:10:03,00:06:36
95,"[0.612, 0.612]",0,00:10:04,00:06:37
96,[0.612],0,00:10:05,00:06:38
96,"[0.656, 0.604]",0,00:10:06,00:06:39
97,"[0.58, 0.56]",0,00:10:07,00:06:40
98,[0.548],0,00:10:08,00:06:41
99,"[0.56, 0.608]",0,00:10:09,00:06:42
98,[0.664],0,00:10:10,00:06:44
